InspectionLot,NodeNo,ProductDescription,CharacteristicCode,CharacteristicDesc,CreatedBy,CreatedOn,Valuation,Inspector,StartDate,StartTime,EndDate,EndTime,Qualitative,Quantative,MinValue,MaxValue,Plant,Batch,NotificationID,DeviationValue,DefectCreatedDate,ItemText,ResolutionCreatedDate,TaskText,Above/Below_Target,TaskCharacteristic,Increase/Decrease,CorrectionValue,Characteristic,Duration_min,has_capa
40000003001,1,Metformin Tablets (850 MG),10,Potency,MK198234,2025-03-01,A,MK198234,2025-03-01,13:17:06,2025-03-01,14:00:06,,97.65,95.0,105.0,1020,5001,,-2.3499999999999943,,,,,,,,,Potency,43.0,0
40000003001,1,Metformin Tablets (850 MG),20,PH Level,MK198234,2025-03-01,A,MK198234,2025-03-01,13:17:06,2025-03-01,13:50:06,,8.39,6.0,9.5,1020,5001,,0.6400000000000006,,,,,,,,,PH Level,33.0,0
40000003001,1,Metformin Tablets (850 MG),30,Appearance,MK198234,2025-03-01,A,MK198234,2025-03-01,13:17:06,2025-03-01,14:08:06,Complies,,,,1020,5001,,,,,,,,,,,Appearance,51.0,0
40000003001,1,Metformin Tablets (850 MG),40,Impurities,MK198234,2025-03-01,A,MK198234,2025-03-01,13:17:06,2025-03-01,13:53:06,,0.11,0.0,2.0,1020,5001,,-0.89,,,,,,,,,Impurities,36.0,0
40000003001,1,Metformin Tablets (850 MG),50,Dissolution Rate - 15 Mins,MK198234,2025-03-01,A,MK198234,2025-03-01,13:17:06,2025-03-01,13:58:06,,53.41,40.0,60.0,1020,5001,,3.4099999999999966,,,,,,,,,Dissolution Rate - 15 Mins,41.0,0
40000003001,1,Metformin Tablets (850 MG),60,Dissolution Rate - 30 Mins,MK198234,2025-03-01,A,MK198234,2025-03-01,13:17:06,2025-03-01,13:40:06,,74.5,70.0,85.0,1020,5001,,-3.0,,,,,,,,,Dissolution Rate - 30 Mins,23.0,0
40000003001,1,Metformin Tablets (850 MG),70,Dissolution Rate - 40 Mins,MK198234,2025-03-01,A,MK198234,2025-03-01,13:17:06,2025-03-01,14:14:06,,86.83,80.0,90.0,1020,5001,,1.8299999999999983,,,,,,,,,Dissolution Rate - 40 Mins,57.0,0
40000003001,1,Metformin Tablets (850 MG),80,Process Temp,MK198234,2025-03-01,A,MK198234,2025-03-01,13:17:06,2025-03-01,13:54:06,,26.51,23.0,28.0,1020,5001,,1.0100000000000016,,,,,,,,,Process Temp,37.0,0
40000003002,1,Metformin Tablets (850 MG),10,Potency,MK198234,2025-03-02,A,MK198234,2025-03-03,05:08:21,2025-03-03,06:00:21,,99.47,95.0,105.0,1020,5002,,-0.5300000000000011,,,,,,,,,Potency,52.0,0
40000003002,1,Metformin Tablets (850 MG),20,PH Level,MK198234,2025-03-02,A,MK198234,2025-03-03,05:08:21,2025-03-03,05:38:21,,7.81,6.0,9.5,1020,5002,,0.05999999999999961,,,,,,,,,PH Level,30.0,0
40000003002,1,Metformin Tablets (850 MG),30,Appearance,MK198234,2025-03-02,A,MK198234,2025-03-03,05:08:21,2025-03-03,05:30:21,Complies,,,,1020,5002,,,,,,,,,,,Appearance,22.0,0
40000003002,1,Metformin Tablets (850 MG),40,Impurities,MK198234,2025-03-02,A,MK198234,2025-03-03,05:08:21,2025-03-03,05:43:21,,1.69,0.0,2.0,1020,5002,,0.69,,,,,,,,,Impurities,35.0,0
40000003002,1,Metformin Tablets (850 MG),50,Dissolution Rate - 15 Mins,MK198234,2025-03-02,A,MK198234,2025-03-03,05:08:21,2025-03-03,05:38:21,,42.05,40.0,60.0,1020,5002,,-7.950000000000003,,,,,,,,,Dissolution Rate - 15 Mins,30.0,0
40000003002,1,Metformin Tablets (850 MG),60,Dissolution Rate - 30 Mins,MK198234,2025-03-02,A,MK198234,2025-03-03,05:08:21,2025-03-03,05:58:21,,78.22,70.0,85.0,1020,5002,,0.7199999999999989,,,,,,,,,Dissolution Rate - 30 Mins,50.0,0
40000003002,1,Metformin Tablets (850 MG),70,Dissolution Rate - 40 Mins,MK198234,2025-03-02,A,MK198234,2025-03-03,05:08:21,2025-03-03,05:49:21,,84.8,80.0,90.0,1020,5002,,-0.20000000000000284,,,,,,,,,Dissolution Rate - 40 Mins,41.0,0
40000003002,1,Metformin Tablets (850 MG),80,Process Temp,MK198234,2025-03-02,A,MK198234,2025-03-03,05:08:21,2025-03-03,05:56:21,,26.31,23.0,28.0,1020,5002,,0.8099999999999987,,,,,,,,,Process Temp,48.0,0
40000003003,1,Amoxicillin Capsules (250 MG),10,Potency,MK198234,2025-03-02,A,MK198234,2025-03-03,13:49:05,2025-03-03,14:30:05,,96.23,92.5,107.5,1020,5003,,-3.769999999999996,,,,,,,,,Potency,41.0,0
40000003003,1,Amoxicillin Capsules (250 MG),20,PH Level,MK198234,2025-03-02,A,MK198234,2025-03-03,13:49:05,2025-03-03,14:15:05,,5.02,3.5,6.0,1020,5003,,0.2699999999999996,,,,,,,,,PH Level,26.0,0
40000003003,1,Amoxicillin Capsules (250 MG),30,Appearance,MK198234,2025-03-02,A,MK198234,2025-03-03,13:49:05,2025-03-03,14:26:05,Complies,,,,1020,5003,,,,,,,,,,,Appearance,37.0,0
40000003003,1,Amoxicillin Capsules (250 MG),40,Impurities,MK198234,2025-03-02,A,MK198234,2025-03-03,13:49:05,2025-03-03,14:16:05,,0.0,0.0,1.5,1020,5003,,-0.75,,,,,,,,,Impurities,27.0,0
40000003003,1,Amoxicillin Capsules (250 MG),50,Dissolution Rate - 15 Mins,MK198234,2025-03-02,R,MK198234,2025-03-03,13:49:05,2025-03-03,14:42:05,,44.87,45.0,65.0,1020,5003,200001001.0,44.87,2025-03-03,Dissolution slightly below target,2025-03-05,Revise dissolution parameters,slightly below target,dissolution,Adjust,,Dissolution Rate - 15 Mins,53.0,1
40000003003,1,Amoxicillin Capsules (250 MG),60,Dissolution Rate - 30 Mins,MK198234,2025-03-02,A,MK198234,2025-03-03,13:49:05,2025-03-03,14:47:05,,80.49,72.0,88.0,1020,5003,200001001.0,44.87,2025-03-03,Dissolution slightly below target,2025-03-05,Revise dissolution parameters,slightly below target,dissolution,Adjust,,Dissolution Rate - 30 Mins,58.0,1
40000003003,1,Amoxicillin Capsules (250 MG),70,Dissolution Rate - 40 Mins,MK198234,2025-03-02,A,MK198234,2025-03-03,13:49:05,2025-03-03,14:20:05,,90.93,82.0,92.0,1020,5003,200001001.0,44.87,2025-03-03,Dissolution slightly below target,2025-03-05,Revise dissolution parameters,slightly below target,dissolution,Adjust,,Dissolution Rate - 40 Mins,31.0,1
40000003003,1,Amoxicillin Capsules (250 MG),80,Process Temp,MK198234,2025-03-02,A,MK198234,2025-03-03,13:49:05,2025-03-03,14:23:05,,23.13,20.0,26.0,1020,5003,,0.129999999999999,,,,,,,,,Process Temp,34.0,0
40000003004,1,Atorvastatin Tablets (20 MG),10,Potency,MK198234,2025-03-03,A,MK198234,2025-03-03,01:05:42,2025-03-03,01:55:42,,102.1,95.0,105.0,1020,5004,,2.0999999999999943,,,,,,,,,Potency,50.0,0
40000003004,1,Atorvastatin Tablets (20 MG),20,PH Level,MK198234,2025-03-03,A,MK198234,2025-03-03,01:05:42,2025-03-03,01:25:42,,5.14,5.0,8.0,1020,5004,,-1.3600000000000003,,,,,,,,,PH Level,20.0,0
40000003004,1,Atorvastatin Tablets (20 MG),30,Appearance,MK198234,2025-03-03,A,MK198234,2025-03-03,01:05:42,2025-03-03,01:53:42,Complies,,,,1020,5004,,,,,,,,,,,Appearance,48.0,0
40000003004,1,Atorvastatin Tablets (20 MG),40,Impurities,MK198234,2025-03-03,A,MK198234,2025-03-03,01:05:42,2025-03-03,01:45:42,,0.19,0.0,1.0,1020,5004,,-0.31,,,,,,,,,Impurities,40.0,0
40000003004,1,Atorvastatin Tablets (20 MG),50,Dissolution Rate - 15 Mins,MK198234,2025-03-03,A,MK198234,2025-03-03,01:05:42,2025-03-03,01:33:42,,47.68,40.0,60.0,1020,5004,,-2.3200000000000003,,,,,,,,,Dissolution Rate - 15 Mins,28.0,0
40000003004,1,Atorvastatin Tablets (20 MG),60,Dissolution Rate - 30 Mins,MK198234,2025-03-03,A,MK198234,2025-03-03,01:05:42,2025-03-03,01:28:42,,74.84,70.0,85.0,1020,5004,,-2.6599999999999966,,,,,,,,,Dissolution Rate - 30 Mins,23.0,0
40000003004,1,Atorvastatin Tablets (20 MG),70,Dissolution Rate - 40 Mins,MK198234,2025-03-03,A,MK198234,2025-03-03,01:05:42,2025-03-03,01:46:42,,83.39,80.0,90.0,1020,5004,,-1.6099999999999994,,,,,,,,,Dissolution Rate - 40 Mins,41.0,0
